id,date,document,metadata.cycle_number,metadata.data_type,metadata.date,metadata.float_wmo_id,metadata.latitude,metadata.longitude,metadata.profile_id,metadata.source,metadata.type
profile:142581,2024-07-01 00:20:34,"ARGO profile 66 of float 27129 on 2024-07-01 00:20:34 at (-11.770, 44.957). Temperature range 2.99–26.95 °C. Salinity range 34.44–35.35 PSU. Max pressure 1868.3 dbar.",66,oceanographic,2024-07-01 00:20:34,27129,-11.770422333333332,44.957066166666664,142581,postgresql,profile_summary
profile:142580,2024-07-01 01:06:00,"ARGO profile 213 of float 27129 on 2024-07-01 01:06:00 at (-11.962, 82.888). Temperature range 2.64–28.03 °C. Salinity range 33.87–35.37 PSU. Max pressure 1949.2 dbar.",213,oceanographic,2024-07-01 01:06:00,27129,-11.9616,82.8876,142580,postgresql,profile_summary
profile:142579,2024-07-01 01:10:20,"ARGO profile 100 of float 27129 on 2024-07-01 01:10:20 at (-43.118, 42.963). Temperature range 2.46–9.02 °C. Salinity range 33.85–34.77 PSU. Max pressure 1998.6 dbar.",100,oceanographic,2024-07-01 01:10:20,27129,-43.118,42.9631,142579,postgresql,profile_summary
profile:142578,2024-07-01 02:13:36,"ARGO profile 202 of float 27129 on 2024-07-01 02:13:36 at (-39.526, 56.050). Temperature range 2.77–15.42 °C. Salinity range 34.38–35.56 PSU. Max pressure 2007.2 dbar.",202,oceanographic,2024-07-01 02:13:36,27129,-39.52639,56.05032,142578,postgresql,profile_summary
profile:142577,2024-07-01 02:42:29,"ARGO profile 281 of float 27129 on 2024-07-01 02:42:29 at (-21.750, 95.672). Temperature range 2.30–22.60 °C. Salinity range 34.48–35.82 PSU. Max pressure 1997.8 dbar.",281,oceanographic,2024-07-01 02:42:29,27129,-21.75,95.672,142577,postgresql,profile_summary
profile:142576,2024-07-01 03:34:22,"ARGO profile 318 of float 27129 on 2024-07-01 03:34:22 at (-17.596, 58.628). Temperature range 2.42–26.00 °C. Salinity range 34.71–35.46 PSU. Max pressure 2000.0 dbar.",318,oceanographic,2024-07-01 03:34:22,27129,-17.596,58.628,142576,postgresql,profile_summary
profile:142574,2024-07-01 03:49:00,"ARGO profile 59 of float 27129 on 2024-07-01 03:49:00 at (-30.170, 34.683). Temperature range 2.11–22.90 °C. Salinity range 34.46–35.56 PSU. Max pressure 2759.5 dbar.",59,oceanographic,2024-07-01 03:49:00,27129,-30.169968333333333,34.68313,142574,postgresql,profile_summary
profile:142570,2024-07-01 04:01:20,"ARGO profile 32 of float 27129 on 2024-07-01 04:01:20 at (-12.553, 81.926). Temperature range 2.49–27.36 °C. Salinity range 34.14–35.24 PSU. Max pressure 2033.0 dbar.",32,oceanographic,2024-07-01 04:01:20,27129,-12.552588333333333,81.92551666666667,142570,postgresql,profile_summary
profile:142568,2024-07-01 04:02:20,"ARGO profile 94 of float 27129 on 2024-07-01 04:02:20 at (-63.811, 20.742). Temperature range -1.77–1.20 °C. Salinity range 33.96–34.68 PSU. Max pressure 2012.2 dbar.",94,oceanographic,2024-07-01 04:02:20,27129,-63.81054,20.742403333333332,142568,postgresql,profile_summary
profile:142566,2024-07-01 04:59:20,"ARGO profile 85 of float 27129 on 2024-07-01 04:59:20 at (-42.970, 60.553). Temperature range 2.45–12.05 °C. Salinity range 34.12–35.01 PSU. Max pressure 2004.3 dbar.",85,oceanographic,2024-07-01 04:59:20,27129,-42.97041,60.5525,142566,postgresql,profile_summary
profile:142563,2024-07-01 05:39:20,"ARGO profile 128 of float 27129 on 2024-07-01 05:39:20 at (-32.478, 33.980). Temperature range 2.76–22.84 °C. Salinity range 34.42–35.67 PSU. Max pressure 1997.0 dbar.",128,oceanographic,2024-07-01 05:39:20,27129,-32.47757166666667,33.97998833333333,142563,postgresql,profile_summary
profile:142559,2024-07-01 06:07:40,"ARGO profile 190 of float 27129 on 2024-07-01 06:07:40 at (-61.647, 79.805). Temperature range -1.16–1.98 °C. Salinity range 34.03–34.75 PSU. Max pressure 1985.2 dbar.",190,oceanographic,2024-07-01 06:07:40,27129,-61.64674377441406,79.80470275878906,142559,postgresql,profile_summary
profile:142556,2024-07-01 06:20:34,"ARGO profile 265 of float 27129 on 2024-07-01 06:20:34 at (-36.772, 108.621). Temperature range 2.49–16.39 °C. Salinity range 34.39–35.77 PSU. Max pressure 1948.7 dbar.",265,oceanographic,2024-07-01 06:20:34,27129,-36.7717,108.6208,142556,postgresql,profile_summary
profile:142555,2024-07-01 06:40:09,"ARGO profile 143 of float 27129 on 2024-07-01 06:40:09 at (-34.442, 107.132). Temperature range 2.39–15.72 °C. Salinity range 34.36–35.65 PSU. Max pressure 2003.3 dbar.",143,oceanographic,2024-07-01 06:40:09,27129,-34.4424,107.1316,142555,postgresql,profile_summary
profile:142552,2024-07-01 07:01:19,"ARGO profile 60 of float 27129 on 2024-07-01 07:01:19 at (16.314, 67.494). Temperature range 8.49–29.45 °C. Salinity range 35.33–36.56 PSU. Max pressure 1007.2 dbar.",60,oceanographic,2024-07-01 07:01:19,27129,16.3137425,67.49365366666666,142552,postgresql,profile_summary
profile:142549,2024-07-01 07:03:19,"ARGO profile 60 of float 27129 on 2024-07-01 07:03:19 at (15.827, 62.269). Temperature range 8.72–29.09 °C. Salinity range 35.36–36.44 PSU. Max pressure 1012.9 dbar.",60,oceanographic,2024-07-01 07:03:19,27129,15.827202166666666,62.26898200000001,142549,postgresql,profile_summary
profile:142545,2024-07-01 07:12:19,"ARGO profile 67 of float 27129 on 2024-07-01 07:12:19 at (-47.508, 80.855). Temperature range 2.34–5.02 °C. Salinity range 33.78–34.56 PSU. Max pressure 1001.8 dbar.",67,oceanographic,2024-07-01 07:12:19,27129,-47.50766116666667,80.85468250000001,142545,postgresql,profile_summary
profile:142543,2024-07-01 07:25:36,"ARGO profile 36 of float 27129 on 2024-07-01 07:25:36 at (-18.591, 100.625). Temperature range 2.51–25.05 °C. Salinity range 34.51–35.76 PSU. Max pressure 1949.3 dbar.",36,oceanographic,2024-07-01 07:25:36,27129,-18.5908,100.6254,142543,postgresql,profile_summary
